algorithm,training_seed,status,config_sha,source_sha,best_checkpoint,checkpoint_sha
ddpg,1000,completed,da062413d104a4facdbc33dde5fe2740484aa4a6a77443181724b74306f6dc2b,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\paper_main\ddpg_seed1000\checkpoints\ddpg_seed1000\best.pt,73907669475cc192a0c4e30351d82dcb6584e0636aeb9658d2d95c53beec08a1
ddpg,2000,completed,da062413d104a4facdbc33dde5fe2740484aa4a6a77443181724b74306f6dc2b,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\paper_main\ddpg_seed2000\checkpoints\ddpg_seed2000\best.pt,511e20ced88afcbeabcc42bbf23d5ef4a878fa5a9af0fec42538d83c8d9be028
ddpg,3000,completed,da062413d104a4facdbc33dde5fe2740484aa4a6a77443181724b74306f6dc2b,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\paper_main\ddpg_seed3000\checkpoints\ddpg_seed3000\best.pt,e87a7b1f3deb3519d631ba5c581fa3d0555670897cc7106121eb2ac8b827223a
ddpg,4000,completed,da062413d104a4facdbc33dde5fe2740484aa4a6a77443181724b74306f6dc2b,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\paper_main\ddpg_seed4000\checkpoints\ddpg_seed4000\best.pt,9619d6c44ed945ccd1c839d10bbc18a37717196f54e82dcc65c9f191d400a9ed
ddpg,5000,completed,da062413d104a4facdbc33dde5fe2740484aa4a6a77443181724b74306f6dc2b,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\paper_main\ddpg_seed5000\checkpoints\ddpg_seed5000\best.pt,b91e239083a4436893eb108b7b460247924ee33edd233bfa4fd56037f4336d34
ddpg,6000,completed,da062413d104a4facdbc33dde5fe2740484aa4a6a77443181724b74306f6dc2b,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\paper_main\ddpg_seed6000\checkpoints\ddpg_seed6000\best.pt,69556a50982548fe03a7037062e7aeaf284cbe2b20bed1b2dd5d4ee33dcdb7ab
ddpg,7000,completed,da062413d104a4facdbc33dde5fe2740484aa4a6a77443181724b74306f6dc2b,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\paper_main\ddpg_seed7000\checkpoints\ddpg_seed7000\best.pt,0c33ce416af061f72aa1b772986b6518501d9d87286c6f7da3f6593c39eacf83
ddpg,8000,completed,da062413d104a4facdbc33dde5fe2740484aa4a6a77443181724b74306f6dc2b,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\paper_main\ddpg_seed8000\checkpoints\ddpg_seed8000\best.pt,c95e6c3eb15bf785083b673b96d2ca3e593fd19755fd2b5aa20b7dc9a3373ea3
maddpg,1000,completed,da062413d104a4facdbc33dde5fe2740484aa4a6a77443181724b74306f6dc2b,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\paper_main\maddpg_seed1000\checkpoints\maddpg_seed1000\best.pt,a0206d93d47d053ac0ac87028acbe568371c1f80064bd6c3892c09321406e404
maddpg,2000,completed,da062413d104a4facdbc33dde5fe2740484aa4a6a77443181724b74306f6dc2b,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\paper_main\maddpg_seed2000\checkpoints\maddpg_seed2000\best.pt,f3c193144f9a867aa276f3378d9875862c42863138803f2c49623248ec614e85
maddpg,3000,completed,da062413d104a4facdbc33dde5fe2740484aa4a6a77443181724b74306f6dc2b,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\paper_main\maddpg_seed3000\checkpoints\maddpg_seed3000\best.pt,ad5fcde205fd99391f4ef725001c0c7f74bf004b71c22a90ee8445c2e2cedc7f
maddpg,4000,completed,da062413d104a4facdbc33dde5fe2740484aa4a6a77443181724b74306f6dc2b,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\paper_main\maddpg_seed4000\checkpoints\maddpg_seed4000\best.pt,064f54aab92794f4a7e89d64f328371723cd81f1a9fdedc9aa1a49bb53b3a2c4
maddpg,5000,completed,da062413d104a4facdbc33dde5fe2740484aa4a6a77443181724b74306f6dc2b,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\paper_main\maddpg_seed5000\checkpoints\maddpg_seed5000\best.pt,54ed646bf470091d896a315c3a4052a96068382725970b4993c64f863eefa2a9
maddpg,6000,completed,da062413d104a4facdbc33dde5fe2740484aa4a6a77443181724b74306f6dc2b,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\paper_main\maddpg_seed6000\checkpoints\maddpg_seed6000\best.pt,ea0b552cbdd5e494055631d7054dd31dd5a424e36fa7a9e4982d680f575c1e31
maddpg,7000,completed,da062413d104a4facdbc33dde5fe2740484aa4a6a77443181724b74306f6dc2b,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\paper_main\maddpg_seed7000\checkpoints\maddpg_seed7000\best.pt,458413bc91de38117055110fd341fb6491057f91a4cfc5b0ef8050c0138d65f8
maddpg,8000,completed,da062413d104a4facdbc33dde5fe2740484aa4a6a77443181724b74306f6dc2b,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\paper_main\maddpg_seed8000\checkpoints\maddpg_seed8000\best.pt,e49a4478b91b7616422a581ba99b2624400194eee341d47531ac30c2559049b9
