algorithm,training_seed,status,config_sha,source_sha,best_checkpoint,checkpoint_sha
maddpg,1000,completed,e270133f74f629eb27f1249a546d147df8ea827f285fdd9d4d89b3248c975be6,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N32\maddpg_seed1000\checkpoints\maddpg_seed1000\best.pt,e7474b41537b55333249954f5f454ab41fe62f0ff7b362fa185447807f41ea30
maddpg,2000,completed,e270133f74f629eb27f1249a546d147df8ea827f285fdd9d4d89b3248c975be6,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N32\maddpg_seed2000\checkpoints\maddpg_seed2000\best.pt,77759d74c10c099d66acfca0c717bb4f51829f8025110db91930b2e15e33b013
maddpg,3000,completed,e270133f74f629eb27f1249a546d147df8ea827f285fdd9d4d89b3248c975be6,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N32\maddpg_seed3000\checkpoints\maddpg_seed3000\best.pt,a7ab4e852007b4932673657733d13d7e88e91566cfeaac607fd0c5bcb994c48f
maddpg,4000,completed,e270133f74f629eb27f1249a546d147df8ea827f285fdd9d4d89b3248c975be6,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N32\maddpg_seed4000\checkpoints\maddpg_seed4000\best.pt,888f706551fc801fe6710e96e704969ff21d1263f62b08a83d58042571098ffc
maddpg,5000,completed,e270133f74f629eb27f1249a546d147df8ea827f285fdd9d4d89b3248c975be6,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N32\maddpg_seed5000\checkpoints\maddpg_seed5000\best.pt,179ae92465bfc94667899346c1a67be118731615ee80602a41cce4587d9ba20a
maddpg,6000,completed,e270133f74f629eb27f1249a546d147df8ea827f285fdd9d4d89b3248c975be6,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N32\maddpg_seed6000\checkpoints\maddpg_seed6000\best.pt,7e6547c0094d719ef982ff1654a2f09ee4476e09b23e87816f42495f351c5499
maddpg,7000,completed,e270133f74f629eb27f1249a546d147df8ea827f285fdd9d4d89b3248c975be6,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N32\maddpg_seed7000\checkpoints\maddpg_seed7000\best.pt,b684b1384dbaee3036ec73ab2a7b25940d67579fc93392e17e3629502953e887
maddpg,8000,completed,e270133f74f629eb27f1249a546d147df8ea827f285fdd9d4d89b3248c975be6,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N32\maddpg_seed8000\checkpoints\maddpg_seed8000\best.pt,fadff55a70767192c669a0ba5a93e3fe84f8b7f7162cbf9be076cf5399b811c4
td3,1000,completed,e270133f74f629eb27f1249a546d147df8ea827f285fdd9d4d89b3248c975be6,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N32\td3_seed1000\checkpoints\td3_seed1000\best.pt,f3d7a60bf02aca162d64ce68fdb8eddae59db20d39dfe74cc79b3fd0c0d3715b
td3,2000,completed,e270133f74f629eb27f1249a546d147df8ea827f285fdd9d4d89b3248c975be6,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N32\td3_seed2000\checkpoints\td3_seed2000\best.pt,5eb73443550f294d89da0f8d9c4c441bccfba042008df5ae8013b9686dd1d615
td3,3000,completed,e270133f74f629eb27f1249a546d147df8ea827f285fdd9d4d89b3248c975be6,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N32\td3_seed3000\checkpoints\td3_seed3000\best.pt,c2f76e7296b22f0abfc9dac3de8e4b02cfdc2f34813bf4dccfeb926ab543e2e9
td3,4000,completed,e270133f74f629eb27f1249a546d147df8ea827f285fdd9d4d89b3248c975be6,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N32\td3_seed4000\checkpoints\td3_seed4000\best.pt,f7ef6ed9ac102f13c004713936ba78baf7ba4e475962563c6c09b13c1cfc7c1d
td3,5000,completed,e270133f74f629eb27f1249a546d147df8ea827f285fdd9d4d89b3248c975be6,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N32\td3_seed5000\checkpoints\td3_seed5000\best.pt,c5d143d2c12624d178b351ce2557e4aa42da2a3e52863a5c157a397ce877a356
td3,6000,completed,e270133f74f629eb27f1249a546d147df8ea827f285fdd9d4d89b3248c975be6,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N32\td3_seed6000\checkpoints\td3_seed6000\best.pt,06cfc2e9f1a53853b5d3654c91ef783412f8fca1f405c126629249ee102b132f
td3,7000,completed,e270133f74f629eb27f1249a546d147df8ea827f285fdd9d4d89b3248c975be6,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N32\td3_seed7000\checkpoints\td3_seed7000\best.pt,8a96999e282c100368b75bfb838a4edcc3adbaf9970d824fe54f70bbf45f3a10
td3,8000,completed,e270133f74f629eb27f1249a546d147df8ea827f285fdd9d4d89b3248c975be6,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N32\td3_seed8000\checkpoints\td3_seed8000\best.pt,52a77c2226b32a4d368b3c6bf7a7c6b48fd48419359664248837513b901226a2
